customer_name,customer_address,customer_type,keyword,radius,place_id,latitude_origin,longitude_origin,latitude_destination,longitude_destination,phone_number,Distance to Infra(m)(driving),Distance to Infra(m)(walking)
Mandiri Unit Mikro Jakarta Mall Klender,"Komplek Ruko Blok B1 No.6 Jl. I Gusti Ngurah Rai, RT.15/RW.17, Klender, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJ-frTp6r0aS4ROzw41QWz3WE,-6.2097,106.90166,-6.2139922,106.9037526,(021) 86612125,2091,1587
Mandiri ATM Citra Klender,"Jl. I Gusti Ngurah Rai, RT.4/RW.6, Klender, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJZdR0VVXzaS4RtsxK_SQ_5WA,-6.2097,106.90166,-6.2139862,106.9037523,(021) 86612125,2091,1587
ATM Bank Syariah Mandiri. PT,"Jl. Pahlawan Revolusi No. 17C, Pondok Bambu, Duren Sawit, RT.3/RW.2, Pd. Bambu, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJu9R3i1rzaS4Rj1_TMdgs4A8,-6.2097,106.90166,-6.2289813,106.8982292,(021) 86613848,2193,2247
Mandiri ATM Alfamart Dermaga,"JL Dermaga Raya, No. 4 RT. 003 RW. 017, Klender, Duren Sawit, RT.5/RW.10, Klender, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJsyZPE1PzaS4RbWvoHjwXkN4,-6.2097,106.90166,-6.2208904,106.9103418,0,2291,2344
ATM Mandiri,"Blok, Jl. Dermaga Raya No.29, RT.3/RW.11, Klender, East Jakarta City",atm,mandiri,2000 m,ChIJVUgtFFPzaS4R2qaDmx_80nI,-6.2097,106.90166,-6.221134999999999,106.9105889,0,2317,2371
ATM Mandiri,"Jl. Cipinang Muara Raya No.3, RT.6/RW.3, Cipinang Muara, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJg1m-Bs_zaS4ROYdYQbSUrdI,-6.2097,106.90166,-6.2246659,106.891391,0,2617,2602
ATM Mandiri,"Jl. Jend. Basuki Rachmat, RT.3/RW.2, Pd. Bambu, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJaa6QMUTzaS4RJZqGxLEPS4I,-6.2097,106.90166,-6.229208799999999,106.8972483,(021) 52997777,2701,2436
Mandiri ATM KCP Jakarta Kawasan Industri Pulogadung,"Jl. Pulobuaran No. 2 Pulogadung, RW.9, Jatinegara, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJF9uNyVOLaS4RYjSgPPygL3w,-6.2097,106.90166,-6.2069586,106.9167904,(021) 52997777,2747,2059
Bank Mandiri - Branch Jakarta Kawasan Industri Pulogadung,"JL. Pulobuaran, No. 2, Pulogadung, RW.9, Jatinegara, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJQUcz41OLaS4R8wFD5F_ASRU,-6.2097,106.90166,-6.2051836,106.9174007,(021) 4600081,2852,2369
Mandiri ATM KCP Jakarta Rawamangun Pegambiran,"Jl. Pegambiran No.5a, RT.12/RW.7, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ6Ugu3L30aS4RNE-0s3lxyXg,-6.2097,106.90166,-6.2005908,106.8906597,(021) 52997777,2988,2583
ATM Mandiri,"Jl. Bekasi Tim. Raya, RT.8/RW.14, Cipinang Besar Utara, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJpcri8p30aS4R-VRPmxdX1N8,-6.2097,106.90166,-6.214938099999999,106.8814054,0,3013,3148
Bank Mandiri Jakarta Rawamangun Pegambiran,"Jl. Pegambiran No. 4, Rawamangun, Jati, Pulogadung, RT.12/RW.7, Jati, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJ-2eYub30aS4R_U7u5oQpTus,-6.2097,106.90166,-6.20132,106.89071,(021) 4892878,3064,2506
Mandiri ATM KCP Jakarta Rawamangun Balai Pustaka,"RT.7/RW.9, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJo6I1rZX0aS4Rg4Ij0yfOdjc,-6.2097,106.90166,-6.2009365,106.8858633,(021) 52997777,3086,3016
ATM Mandiri,"Jl. Kolonel Sugiono No.39a, RT.12/RW.9, Pd. Bambu, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJlTYbAkzzaS4RtIHXGOJnPPA,-6.2097,106.90166,-6.229517599999999,106.9063954,0,3122,3003
ATM Mandiri Cabang Jakarta Duren Sawit,"Jl. Kolonel Sugiono O No.19, RT.14/RW.6, Pd. Bambu, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ63HseUzzaS4RsikXA__djVk,-6.2097,106.90166,-6.2294547,106.9072881,(021) 86612782,3221,3102
ATM Mandiri,"Jl. Cipinang Jaya Raya, RT.5/RW.10, Cipinang Besar, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJUV7GHmfzaS4RAG7iOjnNvVo,-6.2097,106.90166,-6.2218808,106.8860054,0,3241,3005
Mandiri ATM SPBU Cipinang,"Jl. Cipinang Timur No.5, RT.5/RW.10, Cipinang Muara, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJAQ8gXWDzaS4R4I-fnGy9JkI,-6.2097,106.90166,-6.221926499999999,106.886219,(021) 52997777,3266,3029
Bank Mandiri,"Jl. Duren Sawit, RT.9/RW.11, Klender, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJIWey4ayMaS4RYQEL6oLj4r8,-6.2097,106.90166,-6.2219035,106.9139243,0,3294,2795
Mandiri ATM Swalayan TOP,Jl. Basuki Rachmat,bank,mandiri,2000 m,ChIJt6dWbULzaS4R53B6KqYfw3U,-6.2097,106.90166,-6.229185999999999,106.8894015,(021) 52997777,3335,3268
Mandiri ATM Alfamart Buaran,Jl. Buaran Raya,bank,mandiri,2000 m,ChIJt7xmmK6MaS4RItqsBqoKICg,-6.2097,106.90166,-6.220646899999999,106.9187342,(021) 52997777,3370,3334
ATM Mandiri,"Arion Mal Lantai.1, Jalan Pemuda Raya, RT.2/RW.7, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJaVpIesD0aS4RAxi6cnSmuOs,-6.2097,106.90166,-6.1942774,106.8910037,0,3429,3025
ATM Mandiri,"Jl. Balai Pustaka No.29, RT.4/RW.9, Rawamangun, East Jakarta City",atm,mandiri,2000 m,ChIJ247xzpX0aS4RBBzZ3jfwmhI,-6.2097,106.90166,-6.1991169,106.8862209,0,3509,3206
ATM Bank Mandiri,"JL Balai Pustaka Timur, No. 39, Rawamangun, Komplek Ruko Mega Indah Blok A3, RT.4/RW.11, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJVenWLJT0aS4RCaITcejYX1o,-6.2097,106.90166,-6.199498999999999,106.885663,0,3532,3463
ATM Mandiri,"Jalan Cipinang Jaya, RT.3/RW.7, Cipinang Besar Selatan, Jatinegara, RT.3/RW.7, Cipinang Besar Sel., Kota Jakarta Timur",atm,mandiri,2000 m,ChIJU98PPGbzaS4RWyxkdY8l8Xc,-6.2097,106.90166,-6.2246229,106.8845409,0,3585,3348
Bank Mandiri Jakarta Cipinang Jaya,"Jl. Cipinang Jaya Raya No.357, RT.3/RW.7, Cipinang Besar Sel., Kota Jakarta Timur",bank,mandiri,2000 m,ChIJzeGujGDzaS4RvDKeDZvhX3Y,-6.2097,106.90166,-6.2246261,106.8845352,(021) 85903545,3586,3349
ATM Mandiri,"Toserba Berkah, Jl. Gurame No.31, RT.4/RW.6, Jati, East Jakarta City",atm,mandiri,2000 m,ChIJq3xR3bv0aS4RxuJJ79yN3AE,-6.2097,106.90166,-6.2001965,106.8960832,0,3637,2046
ATM Mandiri,"Tip Top, Jl. Balai Pustaka Timur, RT.7/RW.9, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ7TWPf5b0aS4R1uMVa6mamJg,-6.2097,106.90166,-6.2005798,106.8861194,0,3672,3043
ATM Mandiri,"Pom Bensin Pertamina, Jalan Pemuda Raya, RT.2/RW.7, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ7blguOr0aS4R_rddNWSPuYg,-6.2097,106.90166,-6.1940274,106.8872509,0,3942,3548
ATM Bank Mandiri,"JL KRT. Radjiman Widyodiningrat, No.10, Rawa Terate, Cakung, RT.6/RW.12, Jatinegara, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJac7CIk-LaS4RpUlH-Iq1Qe8,-6.2097,106.90166,-6.1999444,106.921758,0,4041,3072
ATM Permata,"Wisma Arion Lt.1, Jalan Pemuda Raya, RT.2/RW.7, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJa-NIw-r0aS4R8M9vWokJhjE,-6.2097,106.90166,-6.1937998,106.8864972,0,4127,3641
ATM Mandiri,"Jl. Raya Bekasi, RT.1/RW.7, Jatinegara Kaum, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ-ZRnccn0aS4RUXQJANT7ZpM,-6.2097,106.90166,-6.1912639,106.9052821,0,4152,2432
ATM Mandiri,"Jl. Jend. Basuki Rachmat, RT.4/RW.6, Cipinang Muara, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ0y4h0mjzaS4R2jbbXUE1A8M,-6.2097,106.90166,-6.2275953,106.8830985,0,4215,3830
Mandiri Unit Mikro Jakarta Rawamangun Pemuda,"Jl. Pemuda A No.79, RT.20/RW.6, Jati, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJSz11FcD0aS4RJmHAAh3898U,-6.2097,106.90166,-6.194208,106.901237,(021) 4757450,4216,2646
ATM Bank Mandiri,"JL Pemuda, No. 10 Kav. 79 Blok A, Rawamangun, RT.20/RW.6, Jati, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJSwyXBMj0aS4Rt8HlyIhQbyE,-6.2097,106.90166,-6.1939914,106.9010791,0,4244,2674
ATM Mandiri,"Swalayan TOP, Jl. Jend. Basuki Rachmat No.17, RW.2, Cipinang Muara, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJPT4Iq2nzaS4Rt5q1T6dVLgg,-6.2097,106.90166,-6.2281986,106.8859298,(021) 52997777,4315,3513
ATM Mandiri RS Dharma Nugraha,"Jl. Balai Pustaka Baru, RT.4/RW.15, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJe9axJJX0aS4RouszE_uFc-0,-6.2097,106.90166,-6.1964998,106.8855335,0,4345,3374
ATM Mandiri,"Rabbani, No. 1, Jl. Pemuda No.8, RT.8/RW.4, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ25tlEuv0aS4RP8VXp1FuA8s,-6.2097,106.90166,-6.1930352,106.8844443,0,4503,3843
ATM Bank Mandiri,"Jl. Kaplongan Raya No.30, RT.16/RW.4, Jati, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJIdKTh8b0aS4RssHtbUjg_pU,-6.2097,106.90166,-6.1897713,106.8974102,0,4509,3368
ATM CIMB Niaga,"Jl. Raya Bekasi No.KM 17, RT.7/RW.3, Jatinegara, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJVX_Xo7H0aS4R7zCX77Rv004,-6.2097,106.90166,-6.2022267,106.9046444,0,4576,973
Bank Mandiri Jakarta Rawamangun Pemuda,"Jl. Pemuda Kav. 64, Jati, Pulogadung, RT.1/RW.8, Jati, Kota Jakarta Timur",bank,mandiri,2000 m,ChIJp-U6ssD0aS4RRF12VVxXYpA,-6.2097,106.90166,-6.1937562,106.8947045,(021) 4757450,4900,2847
ATM Bank Mandiri Pemuda,"Jl. Pemuda No.64, RT.1/RW.8, Jati, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJCTlqs8D0aS4RAUleQ3ZQvgk,-6.2097,106.90166,-6.1937912,106.8945417,0,4919,2865
ATM Mandiri,"Bank Mandiri, Jalan Pemuda Raya, RT.1/RW.8, Jati, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJ86KiscD0aS4RB6JqmZkCBNU,-6.2097,106.90166,-6.1938245,106.8940939,0,4968,2914
ATM Bank Syariah Mandiri,"Jl. Paus No. 86, Rawamangun, RT.1/RW.8, Jati, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJYccgf7_0aS4RR_ytQGGz70A,-6.2097,106.90166,-6.1949081,106.8915091,(021) 14040,5425,2920
ATM Mandiri,"Jalan Pemuda Raya No.1 A, RT.2/RW.7, Jatinegara Kaum, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJoxjsRcj0aS4Rtk9mM3aJJXU,-6.2097,106.90166,-6.1926502,106.9025969,(021) 23978939,6266,2589
ATM Mandiri,"SPBU Pertamina, Jl. Pemuda, RT.10/RW.3, Rawamangun, Kota Jakarta Timur",atm,mandiri,2000 m,ChIJc79Teez0aS4RgCc27We8Y4s,-6.2097,106.90166,-6.1921732,106.8824042,0,7903,4177
